,0
0,Cavendishia bracteata (Ruiz & Pav. ex A.St.-Hil.) Hoerold
1,Cestrum megalophyllum Dunal
2,Erythroxylum macrophyllum Cav.
3,Casearia sylvestris Sw.
4,Inga ruiziana G.Don
5,Inga laurina (Sw.) Willd.
6,Guarea kunthiana A.Juss.
7,Casearia arborea (Rich.) Urb.
8,Ficus citrifolia Mill.
9,Myrcia splendens (Sw.) DC.
10,Eugenia florida DC.
11,Myrcia neesiana DC.
12,Guapira opposita (Vell.) Reitz
13,Inga punctata Willd.
14,Escallonia myrtilloides L.fil.
15,Croton tessmannii Mansf.
16,Hedyosmum goudotianum Solms
17,Gaiadendron punctatum (Ruiz & Pav.) G.Don
18,Dicksonia sellowiana (C.Presl) Hook.
19,Alchornea triplinervia (Spreng.) Müll.Arg.
20,Acalypha diversifolia Jacq.
21,Alsophila cuspidata (Kunze) D.S.Conant
22,Miconia theizans (Bonpl.) Cogn.
23,Meriania tomentosa (Cogn.) Wurdack
24,Boehmeria caudata Sw.
25,Cecropia obtusifolia Bertol.
26,Alsophila erinacea (H.Karst.) D.S.Conant
27,Annona mucosa Jacq.
28,Guarea macrophylla subsp. tuberculata (Vell.) Penn.
29,Ficus americana subsp. guianensis (Desv.) C.C.Berg
30,Ficus maxima Mill.
31,Hieronyma oblonga (Tul.) Müll.Arg.
32,Alchornea glandulosa subsp. iricurana (Casar.) Secco
33,Guarea macrophylla M.Vahl
34,Gordonia fruticosa (Schrad.) H.Keng
35,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
36,Garcinia macrophylla Mart.
37,Inga cinnamomea Spruce ex Benth.
38,Heliocarpus americanus L.
39,Guarea glabra Vahl
40,Garcinia madruno (Kunth) Hammel
41,Faramea occidentalis (L.) A.Rich.
42,Brosimum guianense (Aubl.) Huber ex Ducke
43,Iriartea deltoidea Ruiz & Pav.
44,Myriocarpa stipitata Benth.
45,Alchornea glandulosa Poepp.
46,Lozanella enantiophylla (Donn.Sm.) Killip & Morton
47,Eschweilera awaensis S.A.Mori & Cornejo
48,Handroanthus chrysanthus subsp. chrysanthus
49,Cyathea brunnescens (Barrington) R.C.Moran
50,Guarea macrophylla subsp. spiciflora (A.Juss.) T.D.Penn.
51,Cyathea caracasana (Klotzsch) Domin
52,Endlicheria formosa A.C.Sm.
53,Cornus disciflora Moc. & Sessé ex DC.
54,Cinchona pubescens Vahl
55,Alsophila firma (Baker) D.S.Conant
56,Clusia alata Planch. & Triana
57,Hieronyma duquei Cuatrec.
58,Hieronyma macrocarpa Müll.Arg.
59,Billia rosea (Planch. & Linden) C.Ulloa & P.Jørg.
60,Cestrum humboldtii Francey
61,Agouticarpa williamsii (Standl.) C.H.Perss.
62,Aphelandra acanthus Nees
63,Aiouea palaciosii (van der Werff) R.Rohde
64,Coussarea latifolia Standl.
65,Faramea oblongifolia Standl.
66,Faramea calyptrata C.M.Taylor
67,Annona deceptrix (Westra) H.Rainer
68,Miconia explicita Wurdack
69,Guatteria microcarpa Ruiz & Pav. ex G.Don
70,Cordiera longicaudata C.H.Perss. & Delprete
71,Duroia laevis Devia Perss. & C.M.Taylor
72,Elaeagia utilis (Goudot) Wedd.
73,Huertea glandulosa Ruiz & Pav.
74,Helicostylis tovarensis (Klotzsch & H.Karst.) C.C.Berg
75,Lozania mutisiana Schult.
76,Gloeospermum grandifolium Hekking
77,Cordia hebeclada I.M.Johnst.
78,Ficus mutisii Dugand
79,Ficus macbridei Standl.
80,Inga laevigata M.Martens & Galeotti
81,Escallonia paniculata var. floribunda (Kunth) J.F.Macbr.
82,Escallonia myrtilloides var. patens (Ruiz & Pav.) Sleumer
83,Freziera canescens Humb. & Bonpl.
84,Beilschmiedia pendula (Sw.) Hemsl.
85,Cedrela montana Moritz ex Turcz.
86,Cupania cinerea Poepp. & Endl.
87,Freziera verrucosa (Hieron.) Kobuski
88,Geissanthus ambigua (C.Mart.) G.Agostini
89,Clarisia racemosa Ruiz & Pav.
90,Miconia cooperi (Cogn.) Michelang.
91,Graffenrieda cucullata (D.Don) L.O.Williams
92,Miconia gracilis Triana
93,Miconia punctata (Desr.) D.Don
94,Miconia bracteolata (Bonpl.) DC.
95,Miconia latifolia (D.Don) Naudin
96,Miconia ochracea Triana
97,Miconia papillosa (Desr.) Naudin
98,Meriania maxima Markgr.
99,Miconia corymbiformis Cogn.
100,Miconia goniostigma Triana
101,Axinaea macrophylla (Naudin) Triana
102,Axinaea lehmannii Cogn.
103,Miconia brachycalyx Triana
104,Miconia rivetii Danguy & Cherm.
105,Delostoma integrifolium D.Don
106,Brunellia comocladifolia Humb. & Bonpl.
107,Erythrina edulis Triana ex Micheli
108,Clusia multiflora Kunth
109,"Banara glauca (Humb., Bonpl. & Kunth) Benth."
110,Geissanthus andinus Mez
111,Clethra ovalifolia Turcz.
112,Hedyosmum cumbalense H.Karst.
113,Meliosma violacea Cuatrec. & Idrobo
114,Paratrophis insignis (Bureau) E.M.Gardner
115,Casearia sylvestris var. lingua (Cambess.) Eichler
116,Inga acuminata Benth.
117,Calatola costaricensis Standl.
118,Escallonia paniculata (Ruiz & Pav.) Roem. & Schult.
119,Naucleopsis capirensis C.C.Berg
120,Brunellia comocladifolia subsp. funckiana (Tul.) Cuatrec.
121,Cuatresia cuspidata (Dunal) Hunz.
122,Hedyosmum scaberrimum Standl.
123,Brunellia comocladifolia subsp. comocladifolia
124,Guarea macrophylla subsp. spicaeflora (A.Juss.) Penn.
125,Ficus cuatrecasasiana Dugand
126,Discophora guianensis Miers
127,Blakea eriocalyx Wurdack
128,Chrysophyllum colombianum (Aubrév.) T.D.Penn.
129,Aegiphila alba Moldenke
130,Miconia brevitheca Gleason
131,Cestrum petiolare Kunth
132,Inga pruriens Poepp.
133,Inga densiflora Benth.
134,Inga nobilis subsp. quaternata (Poepp.) T.D.Penn.
135,Myrcianthes rhopaloides (Kunth) Mc Vaugh
136,Geonoma undata subsp. appuniana (Spruce) A.J.Hend.
137,Coccoloba obovata Kunth
138,Bunchosia argentea (Jacq.) DC.
139,Brunellia tomentosa Humb. & Bonpl.
140,Geonoma undata subsp. undata
141,Annona quinduensis Kunth
142,Inga spectabilis (Vahl) Willd.
143,Eschweilera caudiculata R.Knuth
144,Andira taurotesticulata R.T.Penn.
145,Geonoma undata Klotzsch
146,Allophylus excelsus (Triana & Planch.) Radlk.
147,Cupania livida (Radlk.) Croat
148,Guarea macrophylla subsp. pachycarpa (C.DC.) Penn.
149,Inga acrocephala Steud.
150,Inga chartacea Poepp.
151,Inga coruscans Humb. & Bonpl. ex Willd.
152,Inga acreana Harms
153,Inga carinata T.D.Penn.
154,Aegiphila novogranatensis Moldenke
155,Inga glomeriflora Ducke
156,Licaria applanata van der Werff
157,Ceroxylon echinulatum Galeano
158,Hieronyma asperifolia Pax & K.Hoffm.
159,Allophylus floribundus (Poepp.) Radlk.
160,Handroanthus chrysanthus (Jacq.) S.O.Grose
161,Cyathea multiflora Sm.
162,Cornus peruviana J.F.Macbr.
163,Henriettea verrucosa (Triana) J.F.Macbr.
164,Browneopsis macrofoliolata Klitg.
165,Chrysochlamys colombiana (Cuatrec.) Cuatrec.
166,Geonoma undata subsp. edulis (H.Wendl. ex Spruce) A.J.Hend.
167,Coussapoa herthae Mildbr.
168,Ficus tonduzii Standl.
169,Beilschmiedia alloiophylla (Rusby) Kosterm.
170,Grias peruviana Miers
171,Compsoneura mutisii A.C.Sm.
172,Chamaedorea linearis (Ruiz & Pav.) Mart.
173,Clusia crenata Cuatrec.
174,Ficus cervantesiana Standl. & L.O.Williams
175,Meliosma vasquezii A.H.Gentry
176,Hedyosmum scabrum (Ruiz & Pav.) Solms
177,Citronella incarum (J.F.Macbr.) R.A.Howard
178,Alchornea glandulosa subsp. glandulosa
179,Hedyosmum cuatrecazanum Occhioni
180,Casearia quinduensis Tul.
181,Meliosma frondosa Cuatrec. & Idrobo
182,Inga fendleriana Benth.
183,Alchornea grandis Benth.
184,Dacryodes cupularis Cuatrec.
185,Dendropanax macrophyllus Cuatrec.
186,Ficus dulciaria Dugand
187,Blakea rotundifolia D.Don
188,Castilla elastica Sessé
189,Inga multicaulis Spruce ex Benth.
190,Beilschmiedia tovarensis (Meisn.) Sach.Nishida
191,Cecropia gabrielis Cuatrec.
192,Myrsine andina (Mez) Pipoly
193,Myrcianthes orthostemon (O.Berg) Grifo
194,Juglans neotropica Diels
195,Ficus brevibracteata W.C.Burger
196,Inga lallensis Spruce ex Benth.
197,Monteverdia macrocarpa (Ruiz & Pav.) Biral
198,Geissanthus longistamineus (A.C.Sm.) Pipoly
199,Matisia castano Karst. & Triana
200,Brunellia acostae Cuatrec.
201,Critoniopsis occidentalis (Cuatrec.) H.Rob.
202,Myrcianthes hallii (Berg) Mc Vaugh
203,Eugenia crassimarginata M.L.Kawas. & B.Holst
204,Brownea multijuga Britton & Killip
205,Aegiphila bogotensis (Spreng.) Moldenke
206,Ficus caldasiana Dugand
207,Haydenoxylon gentryi (Lundell) M.P.Simmons
208,Gustavia johnclarkii S.A.Mori & Cornejo
209,Andinocleome anomala (Kunth) Iltis ex E.M.Mc Ginty & Roalson
210,Dussia lehmannii Harms
211,Chrysochlamys dependens Planch. & Triana
212,Bactris gasipaes var. chichagui (H.Karst.) A.J.Hend.
213,Casearia arborea subsp. arborea
214,Brunellia comocladifolia subsp. domingensis Cuatrec.
215,Miconia dapsiliflora Wurdack
216,Vasconcellea microcarpa (Jacq.) A.DC.
217,Meliosma occidentalis Cuatrec.
218,Eschweilera rimbachii Standl.
219,Alchornea bogotensis Pax & K.Hoffm.
220,Clusia magnifolia Cuatrec.
221,Brunellia comocladifolia subsp. cundinamarcensis Cuatrec.
222,Hirtella mutisii Killip & Cuatrec.
223,Ilex pernervata Cuatrec.
224,Freziera reticulata Humb. & Bonpl.
225,Cecropia obtusifolia subsp. burriada (Cuatrec.) C.C.Berg & P.Franco
226,Monnina pseudopilosa Ferreyra
227,Alsophila incana (H.Karst.) D.S.Conant
228,Guatteria goudotiana Triana & Planch.
229,Cecropia obtusifolia subsp. obtusifolia
230,Casearia cajambrensis Cuatrec.
231,Dendrophorbium lloense (Hieron. ex Sodiro) C.Jeffrey
232,Guatteria venosa Erkens & Maas
233,Moquilea durifolia (Cuatrec.) Sothers & Prance
234,Guarea macrophylla subsp. macrophylla
235,Guettarda sanblasensis Dwyer
236,Coussapoa contorta Cuatrec.
237,Hedyosmum luteynii Todzia
238,Dendropanax macrocarpus Cuatrec.
239,Faramea parvibractea Steyerm.
240,Cybianthus humilis (Mez) G.Agostini
241,Boehmeria ulmifolia Wedd.
242,Ficus trianae Dugand
243,Faramea langlassei Standl.
244,Quararibea grandifolia (Little) Cuatrec.
245,Inga silanchensis T.D.Penn.
246,Cyathea pallescens (Sodiro) Domin
247,Clusia dixonii Little
248,Matisia giacomettoi Romero
249,Iochroma calycina Benth.
250,Jacaratia chocoensis A.H.Gentry & Forero
251,Aiouea formicaria (van der Werff & Lorea-Hern.) R.Rohde
252,Geonoma undata subsp. tumucensis A.J.Hend.
253,Ilex andicola Loes.
254,Cecropia hispidissima Cuatrec.
255,Meliosma echeverryana Cuatrec.
256,Guarea cartaguenya Cuatrec.
257,Erythroxylum macrophyllum var. savannarum Plowman
258,Handroanthus chrysanthus subsp. pluvicola (A.H.Gentry) S.O.Grose
259,Cecropia bullata C.C.Berg & P.Franco
260,Ficus lacunata Kvitvik
261,Citharexylum montanum Moldenke
262,Erythroxylum macrophyllum var. ecuadorense Plowman
263,Cyathea catacampta Alston
264,Geonoma undata subsp. stenothyrsa (Burret) A.J.Hend.
265,Handroanthus chrysanthus subsp. meridionalis (A.H.Gentry) S.O.Grose
266,Axinaea quitensis Benoist
267,Hedyosmum anisodorum Todzia
268,Guarea macrophylla subsp. pendulispica (C.DC.) Penn.
269,Banara regia Sandwith
270,Brosimum utile subsp. occidentale C.C.Berg
271,Aequatorium jamesonii (S.F.Blake) C.Jeffrey
272,Inga macrophylla Humb. & Bonpl. ex Willd.
273,Geissanthus pichinchae Mez
274,Geonoma undata subsp. pulcherrima (Burret) A.J.Hend.
275,Trema micrantha (L.) Blume
276,Ocotea cernua (Nees) Mez
277,Virola sebifera Aubl.
278,Pourouma bicolor C.Mart.
279,Sapium laurifolium (A.Rich.) Griseb.
280,Rhodostemonodaphne kunthiana (Nees) Rohwer
281,Poulsenia armata (Miq.) Standl.
282,Simarouba amara Aubl.
283,Brosimum utile subsp. utile
284,Triplaris cumingiana Fisch. & C.A.Mey. ex C.A.Mey.
285,Sapium glandulosum (L.) Morong
286,Ficus americana Aubl.
287,Symplocos fuliginosa B.Ståhl
288,Persea pseudofasciculata Kopp
289,Brosimum utile subsp. ovatifolium (Ducke) C.C.Berg
290,Sapium stylare Müll.Arg.
291,Staphylea occidentalis subsp. occidentalis
292,Inga nobilis Willd.
293,Pourouma bicolor subsp. bicolor
294,Viburnum triphyllum Benth.
295,Tetrorchidium euryphyllum Standl.
296,Ocotea insularis (Meisn.) Mez
297,Salacia cordata (Miers) Mennega
298,Ochroma pyramidale (Cav.) Urb.
299,Ruagea glabra Triana & Planch.
300,Prestoea acuminata var. montana (Graham) A.J.Hend. & Galeano
301,Sapium marmieri Huber
302,Palicourea andrei Standl.
303,Persea rigens C.K.Allen
304,Panopsis megistosperma Bonifaz & Cornejo
305,Nectandra longifolia (Ruiz & Pav.) Nees
306,Symplocos quitensis Brand
307,Virola elongata (Benth.) Warb.
308,Damburneya purpurea (Ruiz & Pav.) Trofimov
309,Saurauia prainiana Buscal.
310,Nectandra acutifolia (Ruiz & Pav.) Mez
311,Vismia lateriflora Ducke
312,Salacia cordata subsp. petenensis (Lundell) Lombardi
313,Rauvolfia leptophylla A.S.Rao
314,Spirotheca awadendron Fern.Alonso
315,Urera caracasana (Jacq.) Griseb.
316,Prunus huantensis Pilg.
317,Verbesina latisquama S.F.Blake
318,Otoba gordoniifolia (DC.) A.H.Gentry
319,Vernonanthura patens (Kunth) H.Rob.
320,Saurauia herthae Sleumer
321,Naucleopsis naga Pittier
322,Ocotea floribunda (Sw.) Mez
323,Sorocea trophoides W.C.Burger
324,Zanthoxylum formiciferum (Cuatrec.) Waterman
325,Ficus americana subsp. subapiculata (Miq.) C.C.Berg
326,Ossaea micrantha (Sw.) Macfad. ex Cogn.
327,Otoba novogranatensis Moldenke
328,Pleurothyrium giganthum van der Werff
329,Nectandra membranacea (Sw.) Griseb.
330,Oreopanax incisus (Willd. ex Schult.) Decne. & Planch.
331,Pourouma bicolor subsp. scobina (Benoist) C.C.Berg & Heusden
332,Ocotea cuneifolia (Ruiz & Pav.) Mez
333,Saurauia tomentosa (Kunth) Spreng.
334,Vallea stipularis Mutis ex L.fil.
335,Prestoea acuminata (Willd.) H.E.Moore
336,Trichospermum galeottii (Turcz.) Kosterm.
337,Arawakia weddelliana (Planch. & Triana) L.Marinho
338,Siparuna pilosolepidota Heilborn
339,Ocotea benthamiana Mez
340,Ruagea tomentosa Cuatrec.
341,Oreopanax palamophyllus Harms
342,Pourouma bicolor subsp. tessmannii (Mildbr.) C.C.Berg & Heusden
343,Trichilia pallida Sw.
344,Nectandra subbullata Rohwer
345,Palicourea amethystina (Ruiz & Pav.) DC.
346,Palicourea guianensis Aubl.
347,Styrax heterotrichus Perkins
348,Symplocos subandina B.Ståhl
349,Weinmannia balbisana Kunth
350,Saurauia brachybotrys Turcz.
351,Roupala montana Aubl.
352,Piper crassinervium Kunth
353,Roupala montana var. paraensis (Sleumer) K.S.Edwards
354,Roupala montana var. brasiliensis (Klotzsch) K.S.Edwards
355,Roupala montana var. montana
356,Xanthosoma sagittifolium (L.) Schott
357,Ficus americana subsp. americana
358,Brosimum utile (Kunth) Oken
359,Piper obliquum Ruiz & Pav.
360,Piper aequale Vahl
361,Bactris gasipaes Kunth
362,Pentagonia macrophylla Benth.
363,Palicourea demissa Standl.
364,Siparuna lepidota (Kunth) A.DC.
365,Siparuna echinata (Kunth) A.DC.
366,Oreopanax grandifolius Borchs.
367,Stylogyne ardisioides (Kunth) Mez
368,Tetrorchidium andinum Müll.Arg.
369,Sloanea medusula K.Schum. & Pittier
370,Piper imperiale (Miq.) C.DC.
371,Pourouma bicolor subsp. chocoana (Standl.) C.C.Berg & Heusden
372,Piper carpunya Ruiz & Pav.
373,Virola reidii Little
374,Siparuna aspera (Ruiz & Pav.) A.DC.
375,Tabernaemontana markgrafiana Macbride
376,Pleurothyrium glabritepalum van der Werff
377,Prestoea decurrens H.E.Moore
378,Brosimum utile subsp. allenii (Woodson) C.C.Berg
379,Weinmannia pinnata L.
380,Sorocea trophoides subsp. trophoides
381,Solanum lepidotum Humb. & Bonpl. ex Dunal
382,Tournefortia fuliginosa Kunth
383,Richeria dressleri G.L.Webster
384,Naucleopsis naga subsp. naga
385,Ficus americana subsp. andicola (Standl.) C.C.Berg
386,Weinmannia auriculata D.Don
387,Salacia cordata subsp. cordata
388,Ficus americana subsp. greiffiana (Dugand) C.C.Berg
389,Nectandra obtusata Rohwer
390,Psychotria hazenii Standl.
391,Saurauia prainiana var. pastasana (Diels) Soejarto
392,Saurauia bullosa Wawra
393,Piper nubigenum Kunth
394,Inga nobilis subsp. nobilis
395,Pourouma bicolor subsp. digitata (Trécul) Berg & Heusden
396,Piper barbatum Kunth
397,Ruagea pubescens H.Karst.
398,Prestoea acuminata var. dasystachys (Burret) A.J.Hend. & Galeano
399,Viburnum pichinchense Benth.
400,Palicourea apicata Kunth
401,Palicourea brachiata (Sw.) Borhidi
402,Roupala montana var. impressiuscula (Mez) K.S.Edwards
403,Tapirira rubrinervis Barfod
404,Miconia conocentronioides Michelang.
405,Siparuna multiflora S.S.Renner & Hausner
406,Theobroma gileri Cuatrec.
407,Solanum hypaleurotrichum Bitter
408,Solanum cucullatum S.Knapp
409,Protium ecuadorense Benoist
410,Palicourea pyramidalis Standl.
411,Pittoniotis rotata C.M.Taylor
412,Bactris gasipaes var. gasipaes
413,Symplocos fimbriata B.Ståhl
414,Sphaeropteris quindiuensis (H.Karst.) R.M.Tryon
415,Verbesina arborea Kunth
416,Weinmannia lentiscifolia C.Presl
417,Zanthoxylum quinduense Tul.
418,Zanthoxylum verrucosum (Cuatrec.) Waterman
419,Miconia solearis (Naudin) Gamba & Almeda
420,Saurauia tomentosa var. sprucei (Sprague) Soejarto
421,Saurauia pseudostrigillosa Buscal.
422,Prestoea acuminata var. acuminata
423,Ocotea rugosa van der Werff
424,Naucleopsis naga subsp. meridionalis C.C.Berg
425,Aequatorium jamesonii (S.F. Blake) C. Jeffrey
426,Sessea vestita (Hook.) Miers
427,Palicourea acanthacea C.M.Taylor
428,Piper hylophilum C.DC.
429,Zanthoxylum bonifazieae Cornejo & Reynel
430,Ocotea oreophila van der Werff
431,Ocotea heterochroma Mez & Sodiro
432,Styrax pavonii A.DC.
433,Sessea crassivenosa Bitter
434,Weinmannia glomerata C.Presl
435,Pholidostachys dactyloides H.E.Moore
436,Socratea rostrata Burret
437,Wettinia oxycarpa Galeano & R.Bernal
438,Rhodostemonodaphne cyclops Madriñán
439,Verbesina lloensis Hieron.
440,Wettinia quinaria (O.F.Cook & Doyle) Burret
441,Phytelephas aequatorialis Spruce
442,Chrysochlamys croatii (Maguire) L.Marinho & Hammel
443,Carica microcarpa Jacq.
444,Cavendishia bracteata (Ruiz & Pav. ex J. St.-Hil.) Hoerold
445,Brosimum guianense (Aubl.) Huber
446,Dicksonia sellowiana Hook.
447,Cornus disciflora DC.
448,Faramea occidentalis (L.) A. Rich.
449,Escallonia myrtilloides L. f.
450,Guarea glabra subsp. microcarpa (C.DC.) T.D.Penn.
451,Geissanthus longistamineus (A.C. Sm.) Pipoly
452,Guarea glabra subsp. excelsa (Kunth) T.D.Penn.
453,Guarea glabra subsp. glabrescens (Hook. & Arn.) T.D.Penn.
454,Guarea macrophylla Vahl
455,Miconia punctata (Desr.) D. Don ex DC.
456,Matisia grandifolia Little
457,Inga leiocalycina Benth.
458,Iochroma calycinum Benth.
459,Palicourea palenquensis C.M. Taylor
460,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.
461,Nectandra purpurea (Ruiz & Pav.) Mez
462,Prestoea acuminata (Willd.) H.E. Moore
463,Psychotria brachiata Sw.
464,Piper imperiale (Miq.) C. DC.
465,Turpinia occidentalis (Sw.) G. Don
466,Sloanea medusula K. Schum. & Pittier
467,Varronia cylindristachya Ruiz & Pav.
468,Urera caracasana (Jacq.) Gaudich. ex Griseb.
469,Tovomita croatii Maguire
470,Tovomita weddelliana Planch. & Triana
471,Brosimum utile (Kunth) Pittier
472,Vernonanthura patens (Kunth) H. Rob.
473,Weinmannia balbisiana Kunth
474,Weinmannia auriculata D. Don
